Step,AgentID,Color,Transporting,Position
42,1130,red,[],"(28, 32)"
42,1131,red,[],"(21, 20)"
42,1132,red,[],"(21, 4)"
42,1133,red,[],"(21, 21)"
42,1134,red,[],"(21, 31)"
43,1120,green,[1091],"(5, 2)"
43,1121,green,[],"(6, 24)"
43,1122,green,[],"(5, 31)"
43,1123,green,[1095],"(9, 25)"
43,1124,green,[],"(0, 25)"
43,1125,yellow,[],"(10, 5)"
43,1126,yellow,[],"(10, 25)"
43,1127,yellow,[1098],"(10, 30)"
43,1128,yellow,[1109],"(10, 26)"
43,1129,yellow,[],"(10, 24)"
43,1130,red,[],"(27, 32)"
43,1131,red,[],"(21, 19)"
43,1132,red,[],"(21, 3)"
43,1133,red,[],"(21, 22)"
43,1134,red,[],"(21, 32)"
44,1120,green,[1091],"(4, 1)"
44,1121,green,[],"(5, 23)"
44,1122,green,[],"(6, 31)"
44,1123,green,[1095],"(10, 26)"
44,1124,green,[],"(1, 24)"
44,1125,yellow,[],"(10, 6)"
44,1126,yellow,[],"(10, 24)"
44,1127,yellow,[1098],"(10, 31)"
44,1128,yellow,[1109],"(10, 27)"
44,1129,yellow,[],"(10, 25)"
44,1130,red,[],"(26, 32)"
44,1131,red,[],"(21, 20)"
44,1132,red,[],"(21, 4)"
44,1133,red,[],"(21, 23)"
44,1134,red,[],"(21, 31)"
45,1120,green,[1091],"(5, 0)"
45,1121,green,[],"(6, 23)"
45,1122,green,[],"(7, 31)"
45,1123,green,[1095],"(9, 27)"
45,1124,green,[],"(0, 24)"
45,1125,yellow,[],"(10, 5)"
45,1126,yellow,[],"(10, 25)"
45,1127,yellow,[1098],"(10, 32)"
45,1128,yellow,[1109],"(10, 28)"
45,1129,yellow,[],"(10, 24)"
45,1130,red,[],"(25, 32)"
45,1131,red,[],"(21, 19)"
45,1132,red,[],"(21, 5)"
45,1133,red,[],"(21, 24)"
45,1134,red,[],"(21, 30)"
46,1120,green,[1091],"(6, 1)"
46,1121,green,[],"(5, 23)"
46,1122,green,[],"(6, 31)"
46,1123,green,[1095],"(10, 28)"
46,1124,green,[],"(0, 23)"
46,1125,yellow,[],"(10, 4)"
46,1126,yellow,[],"(10, 26)"
46,1127,yellow,[1098],"(10, 31)"
46,1128,yellow,[1109],"(10, 29)"
46,1129,yellow,[],"(10, 23)"
46,1130,red,[],"(24, 32)"
46,1131,red,[],"(21, 20)"
46,1132,red,[],"(21, 6)"
46,1133,red,[],"(21, 23)"
46,1134,red,[],"(21, 31)"
47,1120,green,[1091],"(7, 2)"
47,1121,green,[],"(4, 23)"
47,1122,green,[],"(5, 30)"
47,1123,green,[1095],"(9, 29)"
47,1124,green,[],"(0, 24)"
47,1125,yellow,[],"(10, 5)"
47,1126,yellow,[],"(10, 27)"
47,1127,yellow,[1098],"(10, 30)"
47,1128,yellow,[1109],"(10, 28)"
47,1129,yellow,[],"(10, 22)"
47,1130,red,[],"(23, 32)"
47,1131,red,[],"(21, 21)"
47,1132,red,[],"(21, 5)"
47,1133,red,[],"(21, 22)"
47,1134,red,[],"(21, 32)"
48,1120,green,[1091],"(7, 3)"
48,1121,green,[],"(3, 23)"
48,1122,green,[],"(4, 29)"
48,1123,green,[1095],"(8, 30)"
48,1124,green,[],"(0, 25)"
48,1125,yellow,[],"(10, 6)"
48,1126,yellow,[],"(10, 26)"
48,1127,yellow,[1098],"(10, 29)"
48,1128,yellow,[1109],"(10, 27)"
48,1129,yellow,[],"(10, 23)"
48,1130,red,[],"(22, 32)"
48,1131,red,[],"(21, 22)"
48,1132,red,[],"(21, 6)"
48,1133,red,[],"(21, 21)"
48,1134,red,[],"(21, 31)"
49,1120,green,[1091],"(7, 4)"
49,1121,green,[],"(2, 22)"
49,1122,green,[],"(3, 30)"
49,1123,green,[1095],"(7, 29)"
49,1124,green,[],"(0, 26)"
49,1125,yellow,[],"(10, 7)"
49,1126,yellow,[],"(10, 25)"
49,1127,yellow,[1098],"(10, 28)"
49,1128,yellow,[1109],"(10, 28)"
49,1129,yellow,[],"(10, 24)"
49,1130,red,[],"(21, 32)"
49,1131,red,[],"(21, 23)"
49,1132,red,[],"(21, 5)"
49,1133,red,[],"(21, 22)"
49,1134,red,[],"(21, 30)"
50,1120,green,[1091],"(7, 5)"
50,1121,green,[],"(1, 21)"
50,1122,green,[],"(3, 31)"
50,1123,green,[1095],"(6, 30)"
50,1124,green,[],"(1, 27)"
50,1125,yellow,[],"(10, 6)"
50,1126,yellow,[],"(10, 24)"
50,1127,yellow,[1098],"(10, 27)"
50,1128,yellow,[],"(10, 29)"
50,1129,yellow,[],"(10, 23)"
50,1130,red,[],"(21, 31)"
50,1131,red,[],"(21, 22)"
50,1132,red,[],"(21, 6)"
50,1133,red,[],"(21, 21)"
50,1134,red,[],"(21, 29)"
51,1120,green,[1091],"(7, 6)"
51,1121,green,[],"(0, 22)"
51,1122,green,[],"(4, 30)"
51,1123,green,[1095],"(5, 29)"
51,1124,green,[],"(0, 27)"
51,1125,yellow,[],"(10, 7)"
51,1126,yellow,[],"(10, 25)"
51,1127,yellow,[1098],"(11, 27)"
51,1128,yellow,[],"(10, 30)"
51,1129,yellow,[],"(10, 24)"
51,1130,red,[],"(21, 30)"
51,1131,red,[],"(21, 23)"
51,1132,red,[],"(21, 5)"
51,1133,red,[],"(21, 22)"
51,1134,red,[],"(21, 28)"
52,1120,green,[1091],"(7, 7)"
52,1121,green,[],"(1, 23)"
52,1122,green,[],"(5, 30)"
52,1123,green,[1095],"(4, 30)"
52,1124,green,[],"(1, 26)"
52,1125,yellow,[],"(10, 6)"
52,1126,yellow,[],"(10, 26)"
52,1127,yellow,[1098],"(12, 27)"
52,1128,yellow,[],"(10, 31)"
52,1129,yellow,[],"(10, 25)"
52,1130,red,[],"(21, 29)"
52,1131,red,[],"(21, 24)"
52,1132,red,[],"(21, 4)"
52,1133,red,[],"(21, 23)"
52,1134,red,[],"(21, 27)"
53,1120,green,[1091],"(8, 7)"
53,1121,green,[],"(0, 22)"
53,1122,green,[],"(6, 31)"
53,1123,green,[1095],"(3, 29)"
53,1124,green,[],"(2, 25)"
53,1125,yellow,[],"(10, 5)"
53,1126,yellow,[],"(10, 27)"
53,1127,yellow,[1098],"(13, 27)"
53,1128,yellow,[],"(10, 32)"
53,1129,yellow,[],"(10, 24)"
53,1130,red,[],"(21, 30)"
53,1131,red,[],"(21, 25)"
53,1132,red,[],"(21, 3)"
53,1133,red,[],"(21, 24)"
53,1134,red,[],"(21, 26)"
54,1120,green,[1091],"(9, 6)"
54,1121,green,[],"(0, 21)"
54,1122,green,[],"(7, 31)"
54,1123,green,[1095],"(2, 28)"
54,1124,green,[],"(3, 25)"
54,1125,yellow,[],"(10, 6)"
54,1126,yellow,[],"(10, 26)"
54,1127,yellow,[1098],"(14, 27)"
54,1128,yellow,[],"(10, 31)"
54,1129,yellow,[],"(10, 23)"
